# id	platform	package	suite	test	source
daemon-oauth-rotated-token	linux	haider-daemon	lib	concurrent_refreshers_never_destroy_the_rotated_token	crates/haider-daemon/src/oauth_tests.rs
daemon-oauth-import-refresh	linux	haider-daemon	lib	concurrent_imported_refreshers_adopt_not_destroy	crates/haider-daemon/src/oauth_tests.rs
daemon-oauth-single-flight	linux	haider-daemon	lib	concurrent_refresh_is_single_flight_rotates_and_persists_before_return	crates/haider-daemon/src/oauth_tests.rs
daemon-oauth-resolve-commit	linux	haider-daemon	lib	concurrent_resolve_waits_for_rotated_descriptor_commit_or_fail_closed_delete	crates/haider-daemon/src/oauth_tests.rs
daemon-shell-close-race	linux	haider-daemon	lib	close_wins_a_race_with_the_running_transition	crates/haider-daemon/src/shell_registry_tests.rs
daemon-shell-inventory	linux	haider-daemon	lib	activity_inventory_revision_remains_monotonic_under_concurrent_lifecycle_changes	crates/haider-daemon/src/shell_registry_tests.rs
daemon-task-pipe-interleaving	linux	haider-daemon	lib	activity_real_interleaved_pipes_cannot_split_pem_redaction	crates/haider-daemon/src/tasks_runtime_tests.rs
daemon-observer-rebuild	linux	haider-daemon	lib	concurrent_observers_of_evicted_session_share_one_rebuild	crates/haider-daemon/src/session_hub/rpc.rs
daemon-budget-stop-race	linux	haider-daemon	lib	a_durable_budget_cause_wins_when_stop_races_the_terminal_batch	crates/haider-daemon/src/run_budget_tests.rs
daemon-recovery-interleaving	linux	haider-daemon	lib	restart_recovery_keeps_interleaved_runs_on_their_accepted_branches	crates/haider-daemon/src/runtime_tests.rs
daemon-duplicate-fork	linux	haider-daemon	lib	concurrent_duplicate_fork_discards_the_losing_candidate_actor	crates/haider-daemon/src/session_hub_private_tests.rs
daemon-import-healing	linux	haider-daemon	lib	concurrent_import_healing_reads_source_and_refreshes_once	crates/haider-daemon/src/accounts_tests.rs
daemon-marked-expired-import-healing	all	haider-daemon	lib	marked_expired_import_commits_a_fresher_source_and_resolves_it	crates/haider-daemon/src/accounts_tests.rs
daemon-codex-import-receipt	all	haider-daemon	lib	codex_import_commits_refreshable_bundle_and_secret_free_receipt	crates/haider-daemon/src/accounts_tests.rs
client-authenticated-candidate	linux	haider-client	test:client_tests	authenticated_daemon_candidate_is_not_treated_as_a_race_loser	crates/haider-client/tests/client_tests.rs
client-racing-launcher	macos	haider-client	test:client_tests	racing_launcher_never_owns_the_other_launchers_winner	crates/haider-client/tests/client_tests.rs
client-deadline-terminal-race	linux	haider-client	lib	durable_request_deadline_reason_wins_terminal_race_as_timeout	crates/haider-client/src/headless_tests.rs
client-lost-spawn-race	linux	haider-client	lib	genuine_lost_race_keeps_the_loser_reap_wait	crates/haider-client/src/spawn.rs
tools-concurrent-patches	macos	haider-tools	test:filesystem_tools_tests	concurrent_patches_cannot_both_apply_the_same_stale_preimage	crates/haider-tools/tests/filesystem_tools_tests.rs
tools-finalizer-race	macos	haider-tools	test:filesystem_tools_tests	finalizer_and_unknown_race_forces_the_loser_before_the_winner_append	crates/haider-tools/tests/filesystem_tools_tests.rs
tools-same-inode-edit	macos	haider-tools	lib	same_inode_concurrent_edit_is_typed_path_change	crates/haider-tools/src/filesystem.rs
tools-output-interleaving	linux	haider-tools	lib	stderr_interleaving_does_not_split_stdout_secret_classification	crates/haider-tools/src/output_redactor_tests.rs
tools-workspace-receipt	linux	haider-tools	lib	an_interleaved_known_filesystem_mutation_invalidates_a_live_process_comparison	crates/haider-tools/src/workspace_receipt_tests.rs
cli-simultaneous-launchers	macos	haider-cli	test:autospawn_tests	two_simultaneous_launchers_elect_one_daemon_and_both_reach_ready	crates/haider-cli/tests/autospawn_tests.rs
cli-concurrent-staging	macos	haider-cli	test:update_tests	concurrent_staging_verifies_all_signatures_before_any_smoke	crates/haider-cli/tests/update_tests.rs
tui-workflow-rejects	linux	haider-tui	test:workflow_live_view_tests	evidence_less_and_concurrent_rejects_are_each_inspectable	crates/haider-tui/tests/workflow_live_view_tests.rs
tui-branch-interleaving	linux	haider-tui	test:b2b_branch_state_tests	interleaved_branch_seqs_advance_one_cursor_and_switching_never_rewinds	crates/haider-tui/tests/b2b_branch_state_tests.rs
tui-rapid-submit	linux	haider-tui	test:tui31_lifecycle_tests	two_rapid_aura_submits_cannot_interleave	crates/haider-tui/tests/tui31_lifecycle_tests.rs
tui-effect-interleaving	linux	haider-tui	test:f2_error_visibility_tests	interleaved_results_attribute_each_effect_to_its_own_row	crates/haider-tui/tests/f2_error_visibility_tests.rs
# Timing-window tests whose names do not contain an explicit race token.
cli-one-shot-daemon-reap	macos	haider-cli	test:cli_tests	one_shot_reaps_only_the_daemon_it_spawned_on_success_and_bootstrap_failure	crates/haider-cli/tests/cli_tests.rs
daemon-coordinator-restart-wait	macos	haider-daemon	lib	coordinator_restart_mid_wait_rearms_supervision_from_durable_progress	crates/haider-daemon/src/subagent_core_tests.rs
daemon-hook-decision-window	linux	haider-daemon	lib	decision_deny_is_reject_once_and_malformed_output_falls_through	crates/haider-daemon/src/hooks_tests.rs
daemon-hook-replay-window	linux	haider-daemon	lib	zero_hooks_retain_without_decode_then_post_install_replay_fires_old_event	crates/haider-daemon/src/hook_dispatch_peak_rss_tests.rs
daemon-oauth-slow-down-timing	linux	haider-daemon	lib	device_flow_runner_continues_and_honors_slow_down_interval	crates/haider-daemon/src/oauth_tests.rs
daemon-native-close-journal	linux	haider-daemon	lib	native_close_refuses_orphan_recovery_until_its_last_journal_write	crates/haider-daemon/src/session_close_tests.rs
daemon-native-close-replay	linux	haider-daemon	lib	native_close_joins_detached_replays_and_refuses_late_replay_admission	crates/haider-daemon/src/session_close_tests.rs
daemon-native-close-publication	linux	haider-daemon	lib	native_close_refuses_monitor_registration_between_commit_and_publication	crates/haider-daemon/src/session_close_tests.rs
daemon-native-close-process-owner	linux	haider-daemon	lib	native_close_waits_for_cancelled_process_owner_cleanup	crates/haider-daemon/src/session_close_tests.rs
warm-projection-seed-share	macos	haider-daemon	lib	concurrent_warm_readers_share_one_reducer_seed	crates/haider-daemon/src/worker_warm_journal_projection_tests.rs
